ID Riset,Kelompok Riset,Kegiatan Riset,Nama,Peran,Kategori
R001,Pemerintahan Digital (Digital Government),Sistem Pemerintahan Berbasis Elektronik,"Dra. Andrari Grahitandaru, M.Sc.",Koordinator,BRIN PRSDI
R001,Pemerintahan Digital (Digital Government),Sistem Pemerintahan Berbasis Elektronik,"Drs. Zain Saifullah, M.Sc.",Anggota,BRIN PRSDI
R001,Pemerintahan Digital (Digital Government),Sistem Pemerintahan Berbasis Elektronik,"Nimas Ayu Untariyati, S.Kom., M.T.I.",Anggota,BRIN PRSDI
R001,Pemerintahan Digital (Digital Government),Sistem Pemerintahan Berbasis Elektronik,"Harnum Annisa Prafitia, S.Si",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Dr. Ekawati Marlina, S.T., M.T.",Koordinator,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Dr. Eng. Budi Nugroho, S.Si., M.T.",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Dr. Ira Maryati, S.TP., M.P.",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Dr. Yaniasih, S.TP., M.P.",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Nimas Ayu Untariyati, S.Kom., M.T.I.",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Dra. Andrari Grahitandaru, M.Sc.",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,"Drs. Zain Saifullah, M.Sc.",Anggota,BRIN PRSDI
R002,Pemerintahan Digital (Digital Government),Implementasi Flipped Classroom dan Gamifikasi dalam Pembelajaran Matematika,Dr. Della Maulidiya,Anggota,Eksternal BRIN
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Nimas Ayu Untariyati, S.Kom., M.T.I.",Koordinator,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Dr. Eng. Budi Nugroho, S.Si., M.T.",Anggota,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Dr. Ekawati Marlina, S.T., M.T.",Anggota,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Dra. Andrari Grahitandaru, M.Sc.",Anggota,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Hengki Muradi, M.Si.",Anggota,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Rival Adrian Juliansyah, S.Kom.",Anggota,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Drs. Zain Saifullah, M.Sc.",Anggota,BRIN PRSDI
R003,Pemerintahan Digital (Digital Government),Citizen Engagement dalam Pemerintahan Digital,"Rezzy Eko Caraka, S.Si., M.Sc(RES)., Ph.D.",Anggota,BRIN PRSDI
R004,Pemerintahan Digital (Digital Government),Riset Model Kematangan Sosial Media (Social Media Maturity Model) Pada Perusahaan Crowdfunding di Indonesia,"Dr. Eng. Budi Nugroho, S.Si., M.T.",Koordinator,BRIN PRSDI
R004,Pemerintahan Digital (Digital Government),Riset Model Kematangan Sosial Media (Social Media Maturity Model) Pada Perusahaan Crowdfunding di Indonesia,Merios Gusan Putra,Anggota,Eksternal BRIN
R004,Pemerintahan Digital (Digital Government),Riset Model Kematangan Sosial Media (Social Media Maturity Model) Pada Perusahaan Crowdfunding di Indonesia,"Prof. Drs. Mustafid, M.Eng., Ph.D.",Anggota,Eksternal BRIN
R004,Pemerintahan Digital (Digital Government),Riset Model Kematangan Sosial Media (Social Media Maturity Model) Pada Perusahaan Crowdfunding di Indonesia,"Prof. Dr. Aries Susanty, S.T., M.T.",Anggota,Eksternal BRIN
